Rank,Country,Points
1,Brazil,1837.56
2,Belgium,1821.92
3,Argentina,1770.65
4,France,1764.85
5,England,1737.46
6,Spain,1716.93
7,Italy,1713.86
8,Netherlands,1679.41
9,Portugal,1678.65
10,Denmark,1665.47
11,Germany,1658.96
12,Mexico,1649.57
13,Uruguay,1643.71
14,United States,1635.01
15,Croatia,1632.15
16,Switzerland,1621.43
17,Colombia,1604.07
18,Senegal,1593.45
19,Wales,1582.13
20,Sweden,1563.44
21,Peru,1562.24
22,Morocco,1558.9
23,Iran,1558.64
24,Japan,1552.77
25,Serbia,1549.53
26,Poland,1546.18
27,Ukraine,1542.79
28,Korea Republic,1526.2
29,Chile,1514.86
30,Tunisia,1507.86
31,Nigeria,1504.7
32,Czech Republic,1502.9
33,Austria,1502.47
34,Costa Rica,1500.06
35,Russia,1493.42
36,Norway,1488.57
37,Hungary,1486.76
38,Cameroon,1484.95
39,Australia,1483.73
40,Egypt,1482.63
41,Algeria,1480.59
42,Turkey,1475.13
43,Canada,1473.82
44,Ecuador,1463.74
45,Scotland,1462.96
46,Mali,1447.74
47,Republic of Ireland,1442.48
48,Greece,1441.45
49,Qatar,1441.41
50,Paraguay,1440.13
51,Slovakia,1439.99
52,Côte d'Ivoire,1435.91
53,Saudi Arabia,1435.74
54,Romania,1427.84
55,Burkina Faso,1425.64
56,Venezuela,1405.17
57,Bosnia-Herzegovina,1403.98
58,Northern Ireland,1399.1
59,Finland,1398.41
60,Ghana,1389.68
61,Panama,1386.51
62,Jamaica,1382.06
63,Iceland,1379.61
64,North Macedonia,1375.2
65,Slovenia,1372.48
66,Albania,1361.81
67,Montenegro,1354.59
68,South Africa,1347.91
69,UAE,1346.09
70,Iraq,1338.91
71,El Salvador,1333.48
72,Cabo Verde,1332.96
73,Congo DR,1332.84
74,Bulgaria,1325.16
75,Oman,1323.03
76,Israel,1316.35
77,Uzbekistan,1306.63
78,China PR,1304.02
79,Gabon,1301.84
80,Honduras,1299.69
81,Bolivia,1298.81
82,Georgia,1296.46
83,Guinea,1294.89
84,Curaçao,1293.35
85,Bahrain,1289.25
86,Jordan,1279.74
87,Haiti,1269.07
88,Zambia,1268.18
89,Syria,1265.03
90,Uganda,1264.56
91,Benin,1262.49
92,Armenia,1242.42
93,Luxembourg,1235.36
94,Palestine,1233.72
95,Kyrgyz Republic,1232.91
96,Belarus,1226.55
97,Vietnam,1218.84
98,Equatorial Guinea,1215.33
99,Congo,1215.09
100,Lebanon,1211.71
101,Trinidad and Tobago,1205.85
102,Kenya,1202.26
103,New Zealand,1198.96
104,India,1198.65
105,Madagascar,1196.03
106,Kosovo,1183.9
107,Cyprus,1180.52
108,Tajikistan,1179.1
109,Estonia,1177.4
110,Mauritania,1177
111,Thailand,1170.69
112,Korea DPR,1169.96
113,Sierra Leone,1168.21
114,Kazakhstan,1166.28
115,Guinea-Bissau,1165.78
116,Guatemala,1161.96
117,Namibia,1160.97
118,Mozambique,1160.55
119,Niger,1155.23
120,Libya,1148.36
121,Malawi,1146.49
122,Angola,1145.26
123,Zimbabwe,1138.56
124,Gambia,1137.22
125,Faroe Islands,1136.29
126,Comoros,1131.88
127,Togo,1130.22
128,Azerbaijan,1127.17
129,Latvia,1125.36
130,Sudan,1124.91
131,Tanzania,1119.24
132,Antigua and Barbuda,1117.01
133,Central African Republic,1116.06
134,Philippines,1113.75
135,Turkmenistan,1100.47
136,Rwanda,1095.04
137,Solomon Islands,1092.56
138,Ethiopia,1086.73
139,Nicaragua,1079.18
140,Burundi,1078.12
141,St. Kitts and Nevis,1076.91
142,Lithuania,1074.08
143,Suriname,1072.24
144,Eswatini,1066.92
145,Hong Kong,1061.15
146,Lesotho,1059.04
147,Malaysia,1057.59
148,Kuwait,1053.41
149,Botswana,1050.32
150,Liberia,1047.36
151,Dominican Republic,1031.86
152,Andorra,1028.7
153,Yemen,1023.52
154,Afghanistan,1023.04
155,Indonesia,1019.19
156,Maldives,1018.25
157,Chinese Taipei,1017.78
158,Myanmar,1011.91
159,Singapore,1004.75
160,New Caledonia,999.7
161,Papua New Guinea,997.6
162,Tahiti,995.11
163,Fiji,993.37
164,Vanuatu,990.55
165,South Sudan,985.53
166,Barbados,982.27
167,Cuba,978.65
168,Malta,974.68
169,Puerto Rico,974.32
170,Bermuda,970.3
171,Grenada,969
172,Guyana,968.74
173,St. Lucia,965.66
174,Cambodia,954.3
175,Belize,950.88
176,Nepal,950.45
177,Montserrat,947.96
178,Moldova,944.96
179,Mauritius,940.47
180,St. Vincent / Grenadines,939.97
181,Chad,931.98
182,Macau,922.1
183,Laos,914.66
184,Mongolia,913.55
185,Dominica,911.51
186,Bhutan,910.96
187,Sao Tome e Principe,908.18
188,American Samoa,900.27
189,Cook Islands,899.33
190,Brunei,897.1
191,Samoa,894.26
192,Bangladesh,883.18
193,Djibouti,875.98
194,Liechtenstein,873.99
195,Seychelles,866.94
196,Pakistan,866.81
197,Cayman Islands,865.72
198,Tonga,861.81
199,Timor-Leste,861.43
200,Somalia,857.39
201,Gibraltar,856.55
202,Eritrea,855.56
203,Aruba,855.37
204,Bahamas,854.8
205,Guam,838.33
206,Turks and Caicos Islands,832
207,Sri Lanka,825.25
208,US Virgin Islands,823.97
209,British Virgin Islands,809.32
210,Anguilla,790.74
211,San Marino,763.82
