country,final,group stage,quarter-finals,round of 16,second group stage,semi-finals,third-place match
Argentina,4.0,36.0,6.0,8.0,8.0,3.0,0.0
Australia,0.0,15.0,0.0,1.0,0.0,0.0,0.0
Belgium,0.0,27.0,3.0,6.0,2.0,2.0,2.0
Brazil,4.0,39.0,9.0,9.0,8.0,5.0,3.0
Cameroon,0.0,21.0,1.0,1.0,0.0,0.0,0.0
Canada,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,15.0,1.0,2.0,0.0,0.0,0.0
Croatia,1.0,15.0,2.0,2.0,0.0,2.0,1.0
Denmark,0.0,15.0,1.0,4.0,0.0,0.0,0.0
Ecuador,0.0,9.0,0.0,1.0,0.0,0.0,0.0
England,0.0,30.0,6.0,7.0,2.0,2.0,2.0
France,3.0,27.0,5.0,5.0,2.0,5.0,2.0
Germany,2.0,21.0,6.0,6.0,0.0,4.0,2.0
Ghana,0.0,9.0,1.0,2.0,0.0,0.0,0.0
Iran,0.0,15.0,0.0,0.0,0.0,0.0,0.0
Japan,0.0,18.0,0.0,3.0,0.0,0.0,0.0
Mexico,0.0,30.0,2.0,8.0,0.0,0.0,0.0
Morocco,0.0,15.0,0.0,1.0,0.0,0.0,0.0
Netherlands,3.0,24.0,4.0,6.0,6.0,3.0,2.0
Poland,0.0,21.0,0.0,1.0,8.0,1.0,2.0
Portugal,0.0,18.0,1.0,3.0,0.0,1.0,1.0
Saudi Arabia,0.0,15.0,0.0,1.0,0.0,0.0,0.0
Senegal,0.0,6.0,1.0,1.0,0.0,0.0,0.0
Serbia,0.0,6.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,27.0,1.0,2.0,0.0,1.0,1.0
Spain,1.0,33.0,4.0,7.0,2.0,1.0,0.0
Switzerland,0.0,15.0,0.0,4.0,0.0,0.0,0.0
Tunisia,0.0,15.0,0.0,0.0,0.0,0.0,0.0
United States,0.0,21.0,1.0,4.0,0.0,0.0,0.0
Uruguay,0.0,24.0,3.0,5.0,0.0,2.0,2.0
