,Rank,Country,Points
0,1,Brazil,1837.56
1,2,Belgium,1821.92
2,3,Argentina,1770.65
3,4,France,1764.85
4,5,England,1737.46
5,6,Spain,1716.93
7,8,Netherlands,1679.41
8,9,Portugal,1678.65
9,10,Denmark,1665.47
10,11,Germany,1658.96
11,12,Mexico,1649.57
12,13,Uruguay,1643.71
13,14,United States,1635.01
14,15,Croatia,1632.15
15,16,Switzerland,1621.43
17,18,Senegal,1593.45
18,19,Wales,1582.13
21,22,Morocco,1558.9
22,23,Iran,1558.64
23,24,Japan,1552.77
24,25,Serbia,1549.53
25,26,Poland,1546.18
27,28,Korea Republic,1526.2
29,30,Tunisia,1507.86
33,34,Costa Rica,1500.06
37,38,Cameroon,1484.95
38,39,Australia,1483.73
42,43,Canada,1473.82
43,44,Ecuador,1463.74
48,49,Qatar,1441.41
52,53,Saudi Arabia,1435.74
59,60,Ghana,1389.68
