,Country,win_margins,lose_margins
1,Argentina,2.8235294117647056,-2.0595238095238093
3,Belgium,2.5,-1.9038461538461537
4,Brazil,3.7906976744186047,-1.7999999999999998
6,Cameroon,2.0,-3.0777777777777775
9,Costa Rica,2.0,-2.571428571428571
10,Croatia,2.7,-2.142857142857143
12,Denmark,4.333333333333333,-2.3
13,Ecuador,3.5,-2.75
14,England,3.232142857142857,-1.0647058823529412
15,France,3.576190476190476,-1.4
16,Germany,4.279761904761905,-2.5
17,Ghana,2.333333333333333,-1.8666666666666667
20,Japan,2.666666666666667,-2.0
21,Mexico,3.0892857142857144,-2.0441176470588234
22,Netherlands,3.75,-1.0833333333333333
27,Poland,3.7,-3.1363636363636367
28,Portugal,2.75,-1.9111111111111112
32,Saudi Arabia,2.0,-4.7
35,South Korea,2.1,-2.2857142857142856
37,Spain,3.7337662337662336,-1.2410714285714286
39,Switzerland,3.5,-1.8571428571428572
40,Tunisia,3.0,-2.083333333333333
43,United States,2.5,-2.1666666666666665
44,Uruguay,2.619047619047619,-2.3615384615384616
48,Australia,,-3.1333333333333333
50,Canada,,-3.0
59,Iran,,-2.0277777777777777
62,Morocco,,-1.7111111111111112
67,Senegal,,-0.6666666666666666
68,Serbia,,-2.333333333333333
